vocal_channel,emotion,emotional_intensity,statement,repetition,sex,length_ms,zero_crossings_sum,mfcc_mean,mfcc_max,sc_std,sc_min,sc_max,stft_std,stft_min,stft_kur,kur,skew,PCA1,PCA2,PCA3
speech,fearful,strong,Kids are talking by the door,2nd,F,-0.5941700022047526,2.274100465490492,1.1711257451440864,-0.6426976599650471,-1.2719640884102033,1.3486472552937183,-0.7189541624759647,-0.3244797299294819,-0.45913940970776546,1.002410826086476,0.7263241506277671,1.0283117641878623,4.852687298658696,-2.1302100467401655,-1.0317766727279643
speech,angry,strong,Kids are talking by the door,1st,F,-0.31504446315935936,0.5068574295203396,0.6654212000797014,-0.22558716467235776,-0.015840510882597,-1.0884694029008997,0.16807936806954096,0.6318840591704467,-0.47051743288632863,-0.25441533879172845,0.9016910594882941,1.123323450760542,3.1552958781766316,-0.7922855156574412,-0.7779420563543059
speech,surprised,strong,Dogs are sitting by the door,1st,F,-0.649326545848453,1.0851087426958044,-0.9687673510168788,-0.33908035224154115,1.0721093046501393,-1.0884694029008997,0.1694328747615982,0.7210233008700458,-0.47051743288632863,-0.27567299325023265,-0.5606994315010326,0.3428216366686987,-1.0664458489901034,0.47024515157610813,-1.557178568851515
song,happy,normal,Kids are talking by the door,2nd,F,2.083429480134887,0.49702879530205984,-0.706989956589477,-0.7118636714637598,0.5689914956397923,1.2971264104676923,0.2430584834790136,0.9760975695950945,-0.43160353472780877,-0.995957743360182,-0.47674771432786156,1.351022177897415,1.2515849629514744,-0.0710949851499603,-0.7727897949844427
song,happy,normal,Kids are talking by the door,2nd,F,1.0237552780104606,0.6231629344366513,-0.8365185048571518,-0.891099092379944,-0.034137362627056814,-1.0884694029008997,0.2586784453716436,0.9603380620162819,-0.47051743288632863,0.42809486821892107,-1.1630300896999173,0.42327782693570687,0.6661220248995084,1.8991624298745053,-1.0319880139495974
speech,fearful,strong,Kids are talking by the door,2nd,F,-0.7613110435492993,0.9846382595756102,-0.1859312800472678,-1.8401064670456913,-0.07989092672527592,-1.0884694029008997,0.26101713177806424,0.5870148851709789,-0.47051743288632863,-0.0746830981076992,1.0036182357712762,0.6191298777786857,2.185108771743054,-0.31009580881843696,-0.7290273327820598
speech,angry,strong,Kids are talking by the door,1st,F,-0.20305996545851301,0.1786902536766624,0.8522295005132462,-0.07612103512741478,0.057992206288610945,-1.0884694029008997,-0.20885056039759375,0.5511204999332915,-0.47051743288632863,0.10627066828181093,1.1115749097976557,1.0629279260933358,3.5699012587905012,-1.1547513221498675,-1.2524085659674684
speech,angry,normal,Kids are talking by the door,1st,F,-0.649326545848453,0.15684884430270718,-0.3705637012231538,0.32018484395455254,0.4536490906498563,0.9186896434642224,0.26882368546978785,-0.16169983107299224,0.10611436059086446,-0.5514978260337199,1.6091171542474079,-0.21650999798557968,-1.2451038610288938,-0.8757621885213205,-0.5999579151626857
song,happy,strong,Kids are talking by the door,2nd,F,1.2460528629987078,0.7744146943512912,-0.31889397438341954,-1.8034515389264663,-0.30346670353115435,0.9589687543494945,0.1951741513962642,0.6125658465470489,-0.4521629610952962,-0.3314086435863442,-1.6107459695620843,0.017879454187589627,2.2610562106895893,-0.35757605699014944,-0.7132724751052286
speech,surprised,normal,Dogs are sitting by the door,1st,F,-1.5986876606854787,-0.9898251478299422,-1.8509768779224995,0.6660187479576687,0.8759821480922031,-1.0884694029008997,0.16943286364902335,0.9336634162903827,-0.47051743288632863,-0.4033583012497748,1.3779035187090087,-0.1493086687374911,-1.5967732813355944,2.0720843795687554,-0.8415829228876481
speech,fearful,normal,Kids are talking by the door,2nd,F,-0.8164675871929998,0.003685961067846143,-0.4531342347894816,-0.978488712180382,-0.13250987115030596,1.071880719781231,0.29387103082678107,-0.3778200686126302,-0.3813391814802187,-0.05713977382569387,0.9037219493445575,0.31393056873633174,-0.770179833471035,-0.7537896248941978,-0.2681674888169104
speech,surprised,normal,Dogs are sitting by the door,1st,F,-0.5390134585610521,-0.39491976000683676,0.28342625225668444,0.8707119076889178,-0.9246613158804502,0.5900146209792952,-0.7687920839856236,0.47086076789239084,-0.42281443455894524,-1.0596709603948895,-0.2053850198330216,-0.6357631605450154,-0.9583657874646737,-0.6340176058434266,-0.08256455079397904
speech,surprised,strong,Kids are talking by the door,1st,F,-0.42702896086020575,-0.3247542323930056,0.4895131660634672,1.1396760108637538,-1.3970989191659953,0.7912113090951342,1.477127305519557,-0.1255560035280534,-0.4159968377486353,-0.46487650619148835,-0.1854524460574371,0.7205819165914463,-0.4029894275729395,0.21236119880506504,0.740469564099664
speech,fearful,strong,Dogs are sitting by the door,2nd,F,-0.8164675871929998,0.5095876056920841,-0.3816437200420095,-1.5343708865122228,-0.07947564407587103,1.723155011596054,0.1281068491762766,0.2897205968800376,-0.39218885353100885,-0.6424608875193166,0.8457422872010933,0.45745984572827975,1.5933192893677968,-1.9014972720598,-0.577662294519641
speech,surprised,strong,Kids are talking by the door,1st,F,-0.5941700022047526,0.42822835577410084,-0.07927482231381258,-0.8042099034721462,-0.3030749298829053,-1.0884694029008997,0.16943293101900833,0.11073212415653397,-0.47051743288632863,1.1309779885677163,0.48406540121923225,1.3054294339910175,1.8694231065163371,1.1423078680772292,-0.6173692895247295
song,happy,normal,Dogs are sitting by the door,2nd,F,1.1340683652978614,1.2025063180808138,-0.6258415091262625,-1.0704841425176799,0.06581521510311585,0.9222687134366626,0.1779678506851436,1.1037540665601329,-0.4457271440354503,-0.567103883215544,-1.212006030877249,0.554451781080275,1.6095896975605768,0.03636043719199924,-1.2293755844980554
speech,angry,strong,Dogs are sitting by the door,1st,F,0.24320661493142695,1.5066479436131401,0.44255043875234096,-0.7878099253487468,0.26338079558180055,0.18736526951330112,0.4859573209388565,0.0678443293752989,-0.3053997682482997,-0.46349714390075825,0.5073086689879964,0.8523322095785075,3.1983132660394316,-2.5013063768771544,-0.5574966271955316
speech,happy,normal,Kids are talking by the door,2nd,F,-0.8164675871929998,0.3883677836666326,-1.2469067021847042,0.22847136276737315,0.004085041250438961,-1.0884694029008997,0.23192319061339814,0.16346154918624936,-0.47051743288632863,0.589722360546838,0.294320895081581,0.6441871920170872,0.28974647334667614,2.256875566067592,-0.007533545527220203
song,angry,strong,Kids are talking by the door,1st,F,0.6878017849079214,2.1116549832717,0.3690130804911413,-1.2514331834390187,-1.4931936041354537,1.5454650571482051,-2.0018116112996664,0.060350642034191285,-0.33916811975713695,0.4496390307799241,-0.3192587319596348,0.66109291805326,3.5093280026687155,-0.8148115598255242,-0.7698613251202995
song,fearful,strong,Kids are talking by the door,2nd,F,0.07439416317343468,-0.5480826432416978,0.8373793938717151,-1.328759564951052,0.02340754769958389,-1.0884694029008997,0.32596916888452254,1.7561622231426008,-0.47051743288632863,-1.257097872791887,0.29700993825106503,0.8737758741236952,5.45467532239536,0.4198062478108797,1.3386254131163138
song,angry,strong,Kids are talking by the door,1st,F,0.9117707803096142,-0.37471645633592815,1.2430087529630969,-1.235787121187695,-0.044447197537646144,-1.0884694029008997,0.2293050661401861,0.8639278331373847,-0.47051743288632863,-0.8189433872436793,-0.17891228851349691,0.7706941488134864,5.0871821104922486,0.28606548987182695,1.9500729998485646
song,fearful,strong,Kids are talking by the door,2nd,F,0.18637866087428104,1.1410773542165646,0.43714148477674897,-0.8560620061780437,-1.2485908745748742,1.4895066644025612,-1.4998041529302981,0.5418375396653168,-0.3127057196901777,-0.12735156243755555,-0.5286271192876589,0.36779706111088534,3.254626580987061,0.6180263058191175,0.09102860909194802
speech,happy,normal,Kids are talking by the door,2nd,F,-0.5941700022047526,-0.21227097411713616,-0.041306222969650815,0.8428408687812974,0.11937759557107082,1.2280971950336275,0.19926255701218076,-0.9497438227376725,-0.024909069572921827,0.5144554277943837,-0.07968069687412226,-0.7288366159395252,-1.2557031433068115,0.18938944793573645,-0.09924156773285703
speech,sad,normal,Kids are talking by the door,2nd,F,-0.5390134585610521,-1.168924704696375,-1.134787432078189,1.0543581211077069,0.7396706842076332,-1.0884694029008997,1.2947216659184497,1.1106662848002091,-0.47051743288632863,-0.40787431120461104,2.123245855139344,0.08017287417658724,-0.7737810182038335,2.6086703003982077,-0.24334211211297624
speech,disgust,normal,Kids are talking by the door,1st,F,-0.5390134585610521,-0.4088436584827332,-0.5224838782376476,1.5268068107127384,0.536468309467323,-1.0884694029008997,1.835995303853416,0.38141909894376624,-0.47051743288632863,0.6347306160600833,0.26581708730719067,0.6647252945719082,-0.1922528761921341,2.404102218250392,-0.3860804529912584
song,calm,strong,Kids are talking by the door,1st,F,2.584852604168528,-0.8413035640870467,-1.2417670401964462,-0.7802965382419735,0.7288098883391925,-1.0884694029008997,3.8363479827547247,1.2130591917661588,-0.47051743288632863,1.541432003963211,-0.42792607044553904,1.7617970505223035,1.9458033269825623,4.40389508288121,0.5640565278590425
song,calm,strong,Kids are talking by the door,1st,F,1.6371628997449472,0.8033545617717819,-0.8645939898166334,-0.5070201132090496,-0.10016577217762333,-1.0884694029008997,1.7174793000631816,0.6566804220266731,-0.47051743288632863,1.404538776168709,-1.5789600341096006,-0.07374557437312276,1.4256429182870365,2.5689505332841387,-0.7582602567144582
speech,sad,normal,Kids are talking by the door,2nd,F,-0.7613110435492993,-0.6698485005014981,-1.096118449156971,1.2414127266400026,0.4317243613709478,-1.0884694029008997,0.18128014986137359,0.2494021433218534,-0.47051743288632863,-0.10511055643445073,0.6092413836294192,1.1154828971442328,-1.8273118789369216,1.1361055159188238,-0.8607720651823952
speech,disgust,normal,Kids are talking by the door,1st,F,-0.7061544999055989,-0.7506617151851325,-0.8217191148732356,0.8646359612015075,0.31151728068569495,-1.0884694029008997,0.5225621416080434,0.23646619506389893,-0.47051743288632863,0.9869629306864455,0.5650897104647454,-0.05666935766836622,-0.33779487030938177,3.168680141167547,-0.10325537517579798
speech,sad,strong,Dogs are sitting by the door,2nd,F,-0.5941700022047526,0.6324455334205823,-0.8177340422806718,1.2628804810973875,0.33694062380866874,0.7829823262032285,0.21101562709541105,-0.06224232123701873,-0.4346254505953643,-0.40713516975387515,-0.6004808066500842,0.5971098971046904,-1.471610563402938,-0.05802313541571647,-0.6763340773383134
speech,disgust,strong,Dogs are sitting by the door,1st,F,-0.14790342181481256,0.03781316321465118,-0.37316371536086346,0.4899770839220209,1.1774441062861625,-1.0884694029008997,0.4376968232794264,1.218225663850569,-0.47051743288632863,-1.091160159013774,-0.21571710351523654,-0.013336224064150332,0.187551017971312,0.6900374746660195,-0.5529180915563724
song,calm,normal,Dogs are sitting by the door,1st,F,1.6371628997449472,1.0971215178514797,-1.0177448312132433,-1.4256381391638668,0.0039917521104134565,-1.0884694029008997,0.20541288088820445,1.0238397264874999,-0.47051743288632863,0.03369013526301959,-1.623132317175686,0.03777521512776949,0.30523109045915753,1.5225520576720017,-1.1167587656458553
song,neutral,normal,Dogs are sitting by the door,2nd,F,1.5803349456878013,0.16667747852098702,-0.9345755717950771,-0.2995632363651116,0.7356646783940406,-1.0884694029008997,0.18999999555549327,1.2966076249039609,-0.47051743288632863,-0.9994342872990084,-0.7595126392931771,0.8893660629868443,0.7399622262856376,0.2034645888862502,-1.156473373799175
song,calm,normal,Dogs are sitting by the door,1st,F,2.417711562823981,0.7973481741939442,-1.2468683280765087,-0.7846511717051273,0.2881960050557674,-1.0884694029008997,-0.28175194606488246,1.015143004097018,-0.47051743288632863,-0.32812613187891904,-1.4012658865426,0.8952108681445348,0.26901689054428296,1.0360762566060389,-1.202119954950938
song,neutral,normal,Dogs are sitting by the door,2nd,F,0.7997862826087678,0.0995151446960747,-1.462821651479229,-0.21076810197458767,0.7658068434279888,-1.0884694029008997,1.2049482122791446,1.1451470213070891,-0.47051743288632863,-0.12045793972470473,-1.525674550831768,0.11153897516448368,-0.5942457574341186,1.5765069649016414,-1.5762712262344833
speech,sad,strong,Dogs are sitting by the door,2nd,F,-0.7061544999055989,-0.3100112810655858,-1.5158362673857078,0.8348985958595422,1.0814502769145276,-1.0884694029008997,0.4475531255295782,1.1299408513774274,-0.47051743288632863,-0.8002270433679486,1.2701334642335123,-0.10551505186808295,-1.3588292124228138,1.6284675984928947,-0.83195415392713
speech,disgust,strong,Dogs are sitting by the door,1st,F,0.07439416317343468,1.0329623778154862,-0.1283555311053202,0.45193972027001916,0.270272584326395,-1.0884694029008997,0.1474804022640733,0.3059087104554324,-0.47051743288632863,-0.5312978443793266,-0.5866707751400437,0.6094642831389113,-0.584758745782748,-0.19291608722844739,-0.7542384485275531
speech,happy,strong,Dogs are sitting by the door,2nd,F,-0.20305996545851301,1.7479955171953454,0.45550899359283975,-0.7767242848215771,0.7897344545759174,-1.0884694029008997,1.16143767159264,0.6478840647281473,-0.47051743288632863,-0.5140662946945415,-0.010588656653743832,0.3592997085146424,2.193655910067532,-1.9833369460294563,-1.447351687619848
song,angry,normal,Dogs are sitting by the door,1st,F,0.7446297389650673,1.508286049316187,-0.538241723286484,-0.7360955276847888,0.1572079301385786,0.2966436980276473,-0.31796444325826484,0.8453954405717096,-0.44845609824507165,-0.9741025877693896,0.4769984408418514,0.7614535379453581,0.8313733886207237,-0.8857760851388735,-1.0379375830142041
song,fearful,normal,Dogs are sitting by the door,2nd,F,0.6878017849079214,1.1825760320270795,-1.4165608786150858,-0.8714630457709424,-0.3097122797618015,-1.0884694029008997,0.1574770591003262,1.07695154604724,-0.47051743288632863,-0.5218831999149792,-0.9020123586584342,0.36702271601137015,-0.13196699981063006,1.8917025638918195,-0.18587639424096922
song,angry,normal,Dogs are sitting by the door,1st,F,0.5206607435633747,1.6830173243078286,-1.1881326038991211,-0.5294394941294541,-0.2131933505779385,-1.0884694029008997,0.16943296366219693,0.11231427037843392,-0.47051743288632863,1.3687569815886098,-0.955727216565308,0.699842902835221,0.787599961826351,1.6240209183435055,-1.1537702665712368
song,fearful,normal,Dogs are sitting by the door,2nd,F,0.35351970221882784,0.01651778907504484,0.1409669759872004,-0.7844669238976141,0.4763794154414354,-0.5939232816344792,0.34235885284638706,1.7957223247145722,-0.4405543614793351,-2.0805169914377672,-0.5233445508467297,0.05767291293118812,2.085561703614308,0.9446397617241765,2.025904193611367
speech,happy,strong,Dogs are sitting by the door,2nd,F,-0.8164675871929998,0.794071962787851,0.7049326181012975,-1.6776910630959194,-2.2250171379265256,2.5273430731916626,-0.10881114883166038,0.39431482181756966,-0.4142994444006323,1.1149190442553139,0.0005536837283071415,0.3062503185537792,4.98277440129189,2.083814897894557,1.6907930090241676
speech,disgust,normal,Dogs are sitting by the door,1st,F,-0.4821855045039062,0.07002924204123515,-0.656650532167172,0.4389269784575926,0.8074825040214794,1.0770816013950368,1.6296402394090896,-0.507156332990887,1.3107042248419147,-0.356353194275085,0.8682407347356846,0.7296297021332603,-1.8346096690240568,-0.9055629164187589,-0.6590654343383957
song,calm,strong,Dogs are sitting by the door,1st,F,3.8116678476375014,1.163737816442043,-0.7717477228336206,-1.5835919766849547,-0.9140413027985287,-1.0884694029008997,0.37576256475718117,0.3880606235744663,-0.47051743288632863,3.729436435860904,-2.0778827481669175,0.6631621303212742,3.7787003275816904,4.753925598334687,0.5051195496161729
speech,sad,normal,Dogs are sitting by the door,2nd,F,-0.649326545848453,0.06456888969774634,-0.8539069128892955,-0.7323167167014816,-0.24441870538448593,1.148752416109942,0.19033060244491132,-0.13439094964955825,-0.21293803113332072,-0.4208324558382011,0.7932470150058423,-0.2837060785057518,-1.300108696437809,0.8962695103886906,0.09791376795488888
speech,sad,strong,Kids are talking by the door,2nd,F,-0.7613110435492993,0.0034129434506717025,-0.8394735355981632,-0.4093841612655618,0.39001585405652217,0.7799738160209866,0.17126162226979857,-0.31670226728095613,-0.3757672814945342,-0.02321066342379893,1.0789353857974966,-0.8210952045774383,-1.5028354521614828,-0.2277373098903082,-0.461842900267626
song,calm,normal,Kids are talking by the door,1st,F,1.3580373606995542,0.5942230670161606,-0.7495838702260887,-1.1464800163758795,-0.1507748180138007,0.8340717291584733,0.17526521985224044,1.0301821155103665,-0.45716835546898826,-0.05425130509441995,-1.5655689213845636,0.3417586022474226,1.6444891432705002,1.2081215935135412,-0.750717922435994
song,neutral,normal,Kids are talking by the door,2nd,F,0.9669273239533146,0.07275941821297954,-1.0464019868653645,-2.0911777617402234,0.12409482224077331,0.8412190300820723,0.25697430682441136,1.0435124998806322,-0.45785279745061847,-0.4221831297489232,-0.5600671961767284,1.983774610944996,1.1146254884773017,0.7667077522803915,-0.8384828072222682
speech,disgust,strong,Kids are talking by the door,1st,F,0.24320661493142695,0.812091125521364,-0.25166747384539184,-0.5042402407562442,0.15968079425442397,-1.0884694029008997,3.4863392789233427,-0.06807808330505183,-0.47051743288632863,-0.5681403149623384,1.1973347854111511,0.2591777932828025,-0.3086338275919027,-0.36109247191455496,-0.008342923942809019
song,neutral,normal,Kids are talking by the door,2nd,M,0.5774886976205206,-0.8331130355718135,0.6676078510168535,0.5032394642043346,0.4702521219760155,0.6548488839586426,0.1590539235731764,0.3277879119078916,-0.03515510601731228,-0.9806204873737552,-1.0836522089161926,1.0478602908913608,-0.6504219661366467,0.29648960704292593,0.2620098918384447
speech,disgust,strong,Kids are talking by the door,1st,M,-0.03591892411396621,-0.341135289423472,0.15143121379501914,0.25473032952199676,0.6513558455331305,-1.0884694029008997,0.31466234929320175,-0.3957649689612259,-0.47051743288632863,0.12036469065193205,1.358135272430317,1.1772509500259878,-0.17296820274548594,-1.0450075305280653,-0.07795883468392051
speech,sad,strong,Kids are talking by the door,2nd,M,0.46550419991967423,1.132613808084157,-0.290027668621135,-0.2583855823153364,0.41610052478475,0.8804998675625094,1.635859930829891,-1.115846788968952,0.5897336967629001,0.32340107563739284,1.4974921899169773,1.483791316363761,-2.1142806221686916,-1.4121809364446976,0.06580542349412123
song,calm,normal,Kids are talking by the door,1st,M,1.0237552780104606,-0.7888841815895542,0.5810771543667911,-0.1466525575168792,0.026716775266202846,0.6846744477229104,-0.22938866950641568,0.4259228793417881,-0.22899352501925155,-0.859648928903729,-0.6974686457274613,1.1810487260393916,-0.5423014925006429,1.0452088024879402,0.27315079672479964
song,calm,strong,Dogs are sitting by the door,1st,M,2.919134686857621,-0.5895813210522127,0.6598060133238096,1.2080188693184644,-0.04862635841785178,-1.0884694029008997,1.5305402478848533,0.7675242617188092,-0.47051743288632863,0.5175403167432161,-1.2863296886030096,0.5329291536615383,1.3802337665307207,4.000119115741859,1.2189034447650826
speech,sad,normal,Dogs are sitting by the door,2nd,M,-0.7061544999055989,-0.33403683137693657,-0.2321985608011043,1.0965670243682148,1.200917531683919,-1.0884694029008997,1.0299591315756411,0.5518083092438599,-0.47051743288632863,-0.9031248134133972,-0.16675453929762654,1.8017797648270253,-2.1139580415651174,0.21122518804493556,-0.5590165078230112
speech,disgust,normal,Dogs are sitting by the door,1st,M,-1.0404365825946924,-0.5114982825403228,-0.6973089096448211,0.5226304881549123,0.6632059214588085,-1.0884694029008997,0.2747728602362118,-1.3799034678080668,-0.47051743288632863,0.9997984299726977,1.383762875168604,0.9878723421136861,-3.1784175893051394,-1.7187571951471228,0.05088858687973021
song,fearful,normal,Dogs are sitting by the door,2nd,M,0.46550419991967423,-0.016244324985888,-0.36942257642682674,0.6522670916604163,1.2212958434415395,0.881781456875591,0.21787532068749108,0.7706321640879792,-0.35269435733396814,-1.4078024053992613,-1.2647834839605299,0.27471148926972083,-2.4356578332514407,-0.20386927012857559,-0.3559898491146439
song,angry,normal,Dogs are sitting by the door,1st,M,0.7997862826087678,0.8849868293069395,0.518252455771726,0.034494193995402656,-0.13517296357539413,1.007951277150514,0.18543340043800188,-0.6343028516217215,0.6463287285446456,0.28488781978140093,0.30461467297756484,1.3993136343404184,0.7949546892946223,-0.005314866165789579,-0.6171790737557233
speech,happy,strong,Dogs are sitting by the door,2nd,M,-0.42702896086020575,-0.33949718372042537,1.427314208784362,-0.7855843349222997,-2.982752107706142,0.5319379887056068,-2.14126507053673,0.10019584818815715,-0.21393253133469106,-0.5712496712157255,-0.18671370882626354,0.5010171360104918,3.030592522236882,1.0018110479117506,2.5844562941588296
speech,happy,strong,Dogs are sitting by the door,2nd,M,-1.2627341675829398,-0.4252247155131996,-0.01655290349391367,0.5039895335668597,0.8049414773176489,1.2176898373473954,0.26209723966863213,0.12064171757083215,-0.3745847035907245,-0.136508258549402,-0.3312769019344126,0.18280830025257244,-1.1212346606852706,-2.772409585125052,-0.5410744355419138
song,fearful,normal,Dogs are sitting by the door,2nd,M,1.3028808170558537,-0.38208793199963803,0.2150249654239126,0.19754119481351573,-0.1467505993873928,0.8707181826288223,0.10016471637465545,0.1552493899613752,-0.31351574342602445,-0.676079849665695,-0.6662865456743502,-0.07687436409185537,-1.6171090956461582,1.4130950735418868,0.35768084657635096
song,angry,normal,Dogs are sitting by the door,1st,M,0.35351970221882784,0.31192285085778926,0.23771550827667115,0.11105319685192955,0.7696955279325394,1.0446449721954525,0.25074403683809154,0.42218930341106736,-0.056660802917292086,-1.1126458946438826,-1.4268599956362298,0.1845059226695393,-0.7529209166647217,-0.6368112339472464,-0.654645062549567
song,neutral,normal,Dogs are sitting by the door,2nd,M,1.3028808170558537,-0.5887622682006894,1.2003387643400634,1.2096997939924314,-1.4775947683531871,0.22410244446367414,-1.8904184953711791,-0.06633144612758207,-0.2337746637472357,0.3726553189062142,-1.254115011183428,-1.5781879128236447,1.1040163733758275,1.692709873971612,0.07043208553973246
song,calm,normal,Dogs are sitting by the door,1st,M,0.24320661493142695,-0.1887914590401343,1.549399526522127,-0.21039806775574246,-2.0931899134545615,0.7328478134705767,-1.524593029486984,0.1802744360187509,-0.2581012467774933,-0.47954421210040565,-1.1768769511968664,-0.04620285357958466,2.381114647334656,1.79091095155432,2.2041332446550794
